food_text_raw,food_name_std,meal_id,event_id,sheet_source,assumption_reason,usda_match_status
2 cups choy sum,choy sum,54,577631dabfcd,Dec25 Jan26,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,56,51b016f1e24a,Dec25 Jan26,missing_grams_per_cup,missing
0.25 cup skyr,skyr yogurt,195,378ddd8ebaa0,Feb2026,missing_grams_per_cup,missing
3 tsp flax seed,flax seed seed,195,378ddd8ebaa0,Feb2026,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,197,b56193c807a4,Feb2026,missing_grams_per_cup,missing
0.25 cup skyr,skyr yogurt,200,617cd9cba219,Feb2026,missing_grams_per_cup,missing
3 tsp flax seed,flax seed seed,200,617cd9cba219,Feb2026,missing_grams_per_cup,missing
2 cup choy sum,choy sum,202,156da7c717dd,Feb2026,missing_grams_per_cup,missing
3/4 cup quinoa,quinoa,202,156da7c717dd,Feb2026,missing_grams_per_cup,missing
1.5 oz of beef,beef,1,91ed4476c418,Dec25 Jan26,,missing
0.5 cup blueberries,blueberries,6,5bf626f28400,Dec25 Jan26,,missing
1/2 cup blueberries,blueberries,10,9162cb29e8ec,Dec25 Jan26,,missing
2 oz beef,beef,49,131dc62edd22,Dec25 Jan26,,missing
5 oz pork chop,pork chop,50,18a0a6f97cab,Dec25 Jan26,,missing
2 oz sliced beef,sliced beef,52,9e325a87788a,Dec25 Jan26,,missing
1 cup veggies,vegetables,52,9e325a87788a,Dec25 Jan26,,missing
1 oz cheese,cheese,53,25599ce57245,Dec25 Jan26,,missing
6 oz pork chops,pork chops,54,577631dabfcd,Dec25 Jan26,,missing
2 oz sliced beef,sliced beef,56,51b016f1e24a,Dec25 Jan26,,missing
1 oz cheese,cheese,57,5badfdc86a76,Dec25 Jan26,,missing
1.5 cups veggies,vegetables,57,5badfdc86a76,Dec25 Jan26,,missing
1.5 oz sliced beef,sliced beef,194,98e43c4d2604,Feb2026,,missing
2 cups veggies,vegetables,194,98e43c4d2604,Feb2026,,missing
1/4 slice of bread,bread,194,98e43c4d2604,Feb2026,,missing
100 g blueberries,blueberries,195,378ddd8ebaa0,Feb2026,,missing
3 tsp hempseed,hempseed,195,378ddd8ebaa0,Feb2026,,missing
1 count kiwi,kiwi,195,378ddd8ebaa0,Feb2026,,missing
2 cups veggies,vegetables,196,2631b6d81ef4,Feb2026,,missing
1/4 slice of bread,bread,196,2631b6d81ef4,Feb2026,,missing
2 cups veggies,vegetables,197,b56193c807a4,Feb2026,,missing
1.5 oz sliced beef,sliced beef,199,5db452e25f23,Feb2026,,missing
2 cups veggies,vegetables,199,5db452e25f23,Feb2026,,missing
1/4 slice of bread,bread,199,5db452e25f23,Feb2026,,missing
100 g blueberries,blueberries,200,617cd9cba219,Feb2026,,missing
3 tsp hempseed,hempseed,200,617cd9cba219,Feb2026,,missing
1 count kiwi,kiwi,200,617cd9cba219,Feb2026,,missing
1.5 cup veggies,vegetables,201,ba259040c75b,Feb2026,,missing
1/2 slice bread,bread,201,ba259040c75b,Feb2026,,missing
5 oz pork chop,pork chop,202,156da7c717dd,Feb2026,,missing
