food_name_std,fdcId,usda_description,calories_kcal_100g,carbs_g_100g,protein_g_100g,fat_g_100g,match_source,usda_similarity_pct,dataType,query_used
1 oz marble cheese,173417,"Cheese, cottage, lowfat, 1% milkfat",303.0,2.72,12.4,1.02,api_hit,,,
1 oz of sliced pork,174575,"Pepperoni, beef and pork, sliced",504.0,1.18,19.2,46.3,api_hit,,,
1 oz pork,169157,"Pork, pickled pork hocks",171.0,0.0,19.1,10.5,api_hit,,,
1 oz sliced pork,174575,"Pepperoni, beef and pork, sliced",504.0,1.18,19.2,46.3,api_hit,,,
1 petzel,173417,"Cheese, cottage, lowfat, 1% milkfat",303.0,2.72,12.4,1.02,api_hit,,,
1 tsp flax seed,170145,"Seeds, breadfruit seeds, boiled",168.0,32.0,5.3,2.3,api_hit,,,
1 tsp hemp seeds,170148,"Seeds, hemp seed, hulled",553.0,8.67,31.6,48.8,api_hit,,,
2 5 oz salmon,172343,"Fish oil, salmon",902.0,0.0,0.0,100.0,api_hit,,,
2 cup brocoli,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
2 cup chinese broccoli,169392,"Broccoli, chinese, cooked",22.0,3.81,1.14,0.72,api_hit,,,
2 cup chinese veggies,169392,"Broccoli, chinese, cooked",22.0,3.81,1.14,0.72,api_hit,,,
2 cup nappa,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
2 cup of mixed veggies,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
2 cup pea shoots,169210,"Bamboo shoots, raw",115.0,5.2,2.6,0.3,api_hit,,,
2 cups broccoli,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
2 cups chicken soup,172899,"Soup, HEALTHY CHOICE Chicken and Rice Soup, canned",37.0,5.71,2.53,0.55,api_hit,,,
2 cups chinese veggies,169392,"Broccoli, chinese, cooked",22.0,3.81,1.14,0.72,api_hit,,,
2 cups melons,167791,Horned melon (Kiwano),44.0,7.56,1.78,1.26,api_hit,,,
2 cups mixed veggies,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
2 cups of brocoli,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
2 cups of chinese veggies,169392,"Broccoli, chinese, cooked",22.0,3.81,1.14,0.72,api_hit,,,
2 cups of rapini,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",194.0,17.1,3.61,12.7,api_hit,,,
